Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,53.1961937028022,TonguePale,28.37837837837838,17.82945736434108,53.48276709635131,69,613,183,23,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,TipSideRed,41.44144144144144,58.59872611464968,55.834030100334445,368,520,0,0,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,Spot,47.18468468468468,64.11629686304514,61.47060469897359,419,469,0,0,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,Ecchymosis,90.2027027027027,0.0,46.11148096592628,0,5,801,82,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,Crack,83.44594594594594,90.97605893186004,48.30574605010695,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,Toothmark,60.58558558558559,75.45582047685834,46.28226234731811,538,350,0,0,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,FurThick,97.18468468468468,98.57224443175329,52.02780996523755,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
0,53.1961937028022,FurYellow,75.90090090090091,25.694444444444446,62.05484839816935,37,99,637,115,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,TonguePale,58.108108108108105,20.851063829787233,59.76622241642998,49,329,467,43,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,TipSideRed,41.44144144144144,58.59872611464968,61.53846153846154,368,520,0,0,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,Spot,47.18468468468468,64.11629686304514,63.21936176600801,419,469,0,0,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,Ecchymosis,86.93693693693693,12.121212121212121,52.14549415965624,8,42,764,74,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,Crack,83.44594594594594,90.97605893186004,49.52950140920066,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,Toothmark,60.58558558558559,75.45582047685834,49.38980350504514,538,350,0,0,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,FurThick,97.18468468468468,98.57224443175329,68.79721900347624,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
1,61.00216958805703,FurYellow,81.53153153153153,58.79396984924622,83.63129290617849,117,129,607,35,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,TonguePale,71.84684684684684,23.78048780487805,61.915556041074936,39,197,599,53,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,TipSideRed,41.44144144144144,58.59872611464968,71.02215719063545,368,520,0,0,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,Spot,56.08108108108109,67.92763157894738,85.41761021011546,413,384,85,6,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,Ecchymosis,73.98648648648648,18.374558303886925,58.32929855353144,26,175,631,56,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,Crack,83.44594594594594,90.97605893186004,81.7969833007427,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,Toothmark,62.5,76.12903225806451,79.50557620817844,531,326,24,7,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,FurThick,97.18468468468468,98.57224443175329,74.01158748551563,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
2,75.10148460341533,FurYellow,86.37387387387388,63.66366366366366,88.8131078375286,106,75,661,46,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,TonguePale,66.44144144144144,29.71698113207547,75.55986454009175,63,269,527,29,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,TipSideRed,51.57657657657657,62.147887323943664,76.51442307692308,353,415,105,15,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,Spot,60.24774774774775,69.69957081545064,82.62082020853794,406,340,129,13,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,Ecchymosis,77.59009009009009,21.34387351778656,60.61247957392726,27,144,662,55,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,Crack,83.44594594594594,90.97605893186004,80.86883876357561,741,147,0,0,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,Toothmark,60.92342342342343,75.58057705840959,79.98194370685077,537,346,4,1,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,FurThick,97.18468468468468,98.57224443175329,90.42410196987254,863,25,0,0,nan,nan,nan,nan,nan,nan,nan
3,79.84535260125382,FurYellow,83.44594594594594,63.70370370370371,92.18034897025171,129,124,612,23,nan,nan,nan,nan,nan,nan,nan
