Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,72.94296396085707,HealthyTongue,98.41549295774648,0.0,66.32876167759888,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,PeelingCoating,89.26056338028168,34.40860215053763,77.41306755260244,16,34,491,27,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,RedTongue,74.29577464788733,47.10144927536232,77.29001883239171,65,93,357,53,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,PurpleTongue,95.77464788732394,0.0,53.722426470588225,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,ChubbyTongue,41.54929577464789,19.806763285024157,71.60942540940091,41,326,195,6,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,ThinTongue,91.37323943661971,46.15384615384615,84.95845617796837,21,35,498,14,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,RedDot,52.99295774647887,38.901601830663616,76.54273504273505,85,252,216,15,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,Crack,50.176056338028175,47.689463955637706,79.6959321757561,129,267,156,16,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,Toothmark,65.66901408450704,28.57142857142857,57.33071959487055,39,128,334,67,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,FurWhite,68.13380281690141,81.04712041884817,73.02810969777434,387,181,0,0,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,FurYellow,90.14084507042254,68.18181818181819,90.6940022261914,60,37,452,19,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,FurBlack,96.83098591549296,0.0,66.00361663652802,0,3,550,15,nan,nan,nan,nan,nan,nan,nan
0,72.94296396085707,SmoothCoating,98.06338028169014,0.0,73.64125999673577,0,0,557,11,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,HealthyTongue,98.41549295774648,0.0,71.29795269330153,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,PeelingCoating,89.7887323943662,0.0,67.80952380952381,0,15,510,43,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,RedTongue,62.323943661971825,45.685279187817265,70.49717514124293,90,186,264,28,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,PurpleTongue,95.77464788732394,0.0,42.90747549019607,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,ChubbyTongue,67.0774647887324,19.742489270386262,63.429574876465054,23,163,358,24,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,ThinTongue,93.83802816901408,0.0,51.01581345483785,0,0,533,35,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,RedDot,48.59154929577465,33.027522935779814,58.833333333333336,72,264,204,28,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,Crack,36.267605633802816,41.23376623376624,59.808429118773944,127,344,79,18,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,Toothmark,51.40845070422535,33.009708737864074,57.53900187862453,68,238,224,38,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,FurWhite,68.13380281690141,81.04712041884817,73.39215098433908,387,181,0,0,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,FurYellow,83.62676056338029,55.50239234449761,84.20439543371904,58,72,417,21,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,FurBlack,96.65492957746478,0.0,67.8119349005425,0,4,549,15,nan,nan,nan,nan,nan,nan,nan
1,63.072478755458064,SmoothCoating,98.06338028169014,0.0,51.39546270605516,0,0,557,11,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,HealthyTongue,98.41549295774648,0.0,65.5933214072749,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,PeelingCoating,92.42957746478874,0.0,65.00110741971208,0,0,525,43,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,RedTongue,55.633802816901415,46.15384615384615,84.13747645951035,108,242,208,10,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,PurpleTongue,95.77464788732394,0.0,62.07107843137255,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,ChubbyTongue,64.7887323943662,23.664122137404583,68.57924613059991,31,184,337,16,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,ThinTongue,93.83802816901408,54.54545454545454,88.85553470919324,21,21,512,14,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,RedDot,69.8943661971831,43.56435643564357,74.91452991452991,66,137,331,34,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,Crack,29.577464788732392,41.690962099125365,72.5108013369202,143,398,25,2,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,Toothmark,57.04225352112676,36.78756476683938,65.75594217103651,71,209,253,35,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,FurWhite,68.13380281690141,81.04712041884817,77.38803945922024,387,181,0,0,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,FurYellow,80.63380281690141,53.38983050847459,87.3806010716782,63,94,395,16,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,FurBlack,97.35915492957746,0.0,69.84930681133213,0,0,553,15,nan,nan,nan,nan,nan,nan,nan
2,73.48860163802367,SmoothCoating,98.06338028169014,0.0,73.31483597192754,0,0,557,11,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,HealthyTongue,98.41549295774648,0.0,50.486980719538856,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,PeelingCoating,87.32394366197182,5.2631578947368425,64.7264673311185,2,31,494,41,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,RedTongue,63.38028169014085,50.476190476190474,81.84180790960453,106,196,254,12,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,PurpleTongue,95.77464788732394,0.0,52.11397058823529,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,ChubbyTongue,53.16901408450704,18.902439024390247,61.85322824355781,31,250,271,16,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,ThinTongue,90.3169014084507,33.734939759036145,83.89707853122486,14,34,499,21,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,RedDot,70.07042253521126,47.20496894409938,78.60470085470087,76,146,322,24,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,Crack,71.30281690140845,60.14669926650367,85.46262329827994,123,141,282,22,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,Toothmark,70.95070422535211,39.56043956043956,65.64771706281141,54,113,349,52,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,FurWhite,71.30281690140845,82.49194414607948,72.58840492811969,384,160,21,3,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,FurYellow,91.02112676056338,66.66666666666666,84.09826305298853,51,23,466,28,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,FurBlack,97.35915492957746,0.0,74.46654611211574,0,0,553,15,nan,nan,nan,nan,nan,nan,nan
3,71.17314008549897,SmoothCoating,66.72535211267606,5.970149253731343,69.46303247919047,6,184,373,5,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,HealthyTongue,98.41549295774648,0.0,75.75034784337109,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,PeelingCoating,87.5,26.80412371134021,73.67884828349945,13,41,484,30,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,RedTongue,65.3169014084507,48.56396866840731,78.70809792843691,93,172,278,25,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,PurpleTongue,94.8943661971831,0.0,58.0499387254902,0,5,539,24,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,ChubbyTongue,79.92957746478874,22.972972972972975,73.13676644750275,17,84,437,30,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,ThinTongue,94.71830985915493,37.49999999999999,91.86277137496648,9,4,529,26,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,RedDot,67.42957746478874,46.99140401146131,79.88888888888887,82,167,301,18,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,Crack,73.06338028169014,60.465116279069775,85.02078747860112,117,125,298,28,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,Toothmark,58.098591549295776,38.02083333333333,68.35947071796127,73,205,257,33,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,FurWhite,68.13380281690141,81.04712041884817,75.20236412694334,387,181,0,0,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,FurYellow,80.98591549295774,54.23728813559322,89.2288576531801,64,93,396,15,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,FurBlack,96.12676056338029,15.384615384615383,79.93972272453286,2,9,544,13,nan,nan,nan,nan,nan,nan,nan
4,77.94405826240482,SmoothCoating,97.1830985915493,11.11111111111111,84.44589521788805,1,6,551,10,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,HealthyTongue,98.41549295774648,0.0,76.80381633870007,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,PeelingCoating,84.85915492957746,21.818181818181817,71.58361018826136,12,55,470,31,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,RedTongue,68.66197183098592,49.717514124293785,77.68173258003766,88,148,302,30,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,PurpleTongue,95.77464788732394,0.0,58.49417892156863,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,ChubbyTongue,63.732394366197184,23.703703703703706,70.75182750030629,32,191,330,15,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,ThinTongue,93.83802816901408,0.0,61.52238005896542,0,0,533,35,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,RedDot,45.24647887323944,36.40081799591002,79.58333333333333,89,300,168,11,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,Crack,80.45774647887323,63.12292358803987,86.50933398548952,95,61,362,50,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,Toothmark,60.03521126760564,42.53164556962026,76.54169729641427,84,205,257,22,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,FurWhite,69.36619718309859,81.64556962025316,74.66558168087141,387,174,7,0,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,FurYellow,89.43661971830986,66.66666666666666,90.5878698454609,60,41,448,19,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,FurBlack,97.35915492957746,0.0,79.6383363471971,0,0,553,15,nan,nan,nan,nan,nan,nan,nan
5,76.28826227059756,SmoothCoating,89.96478873239437,14.92537313432836,87.38371144116208,5,51,506,6,nan,nan,nan,nan,nan,nan,nan
6,61.59843340245541,HealthyTongue,98.41549295774648,0.0,67.40210693699065,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
6,61.59843340245541,PeelingCoating,85.91549295774648,13.043478260869565,55.65891472868218,6,43,482,37,nan,nan,nan,nan,nan,nan,nan
6,61.59843340245541,RedTongue,48.59154929577465,38.13559322033898,67.8135593220339,90,264,186,28,nan,nan,nan,nan,nan,nan,nan
6,61.59843340245541,PurpleTongue,95.77464788732394,0.0,51.830575980392155,0,0,544,24,nan,nan,nan,nan,nan,nan,nan
