Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,81.44062150247355,TonguePale,71.84684684684684,32.43243243243243,77.76381909547739,60,218,578,32,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,TipSideRed,55.63063063063063,62.83018867924528,75.8016304347826,333,359,161,35,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,Spot,70.15765765765765,74.73784556720688,87.0394023744218,392,238,231,27,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,Ecchymosis,78.15315315315316,19.834710743801654,64.80058100829147,24,136,670,58,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,Crack,84.90990990990991,91.69764560099132,82.42309069376739,740,133,14,1,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,Toothmark,72.40990990990991,80.35284683239774,83.71481678173129,501,208,142,37,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,FurThick,96.509009009009,98.21736630247268,87.21668597914254,854,22,3,9,nan,nan,nan,nan,nan,nan,nan
0,81.44062150247355,FurYellow,86.71171171171171,68.27956989247312,92.7649456521739,127,93,643,25,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,TonguePale,72.86036036036036,30.54755043227666,74.68456412497268,53,202,594,39,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,TipSideRed,48.64864864864865,59.64601769911504,71.06866638795988,337,425,95,31,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,Spot,67.11711711711712,71.6504854368932,81.62800046816717,369,242,227,50,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,Ecchymosis,75.78828828828829,22.939068100358426,63.67033831628639,32,165,641,50,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,Crack,83.67117117117117,91.05490438001233,77.27744269097651,738,142,5,3,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,Toothmark,66.8918918918919,77.9940119760479,76.05098247477429,521,277,73,17,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,FurThick,97.18468468468468,98.57061177815895,79.67555040556199,862,24,1,1,nan,nan,nan,nan,nan,nan,nan
1,76.90546105767204,FurYellow,85.13513513513513,63.934426229508205,91.18814359267733,117,97,639,35,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,TonguePale,65.65315315315316,30.523917995444194,73.77922219794625,67,280,516,25,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,TipSideRed,58.333333333333336,64.49136276391555,74.78443770903012,336,338,182,32,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,Spot,71.95945945945947,74.03545359749741,84.15152332439405,355,185,284,64,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,Ecchymosis,80.85585585585585,27.966101694915253,68.49089148459723,33,121,685,49,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,Crack,84.34684684684684,91.02646868947708,83.73130628769725,705,103,44,36,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,Toothmark,70.27027027027027,79.34272300469483,81.987785448752,507,233,117,31,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,FurThick,96.509009009009,98.21941412981045,82.8922363847045,855,23,2,8,nan,nan,nan,nan,nan,nan,nan
2,80.24301488553263,FurYellow,87.04954954954955,67.60563380281691,92.1267162471396,120,83,653,32,nan,nan,nan,nan,nan,nan,nan
3,76.12801951418679,TonguePale,81.41891891891892,26.008968609865473,72.2675879396985,29,102,694,63,nan,nan,nan,nan,nan,nan,nan
3,76.12801951418679,TipSideRed,55.067567567567565,62.322946175637384,70.97564799331103,330,361,159,38,nan,nan,nan,nan,nan,nan,nan
3,76.12801951418679,Spot,61.5990990990991,69.63490650044524,79.53855000483433,391,313,156,28,nan,nan,nan,nan,nan,nan,nan
3,76.12801951418679,Ecchymosis,75.0,25.503355704697988,66.38171034315802,38,178,628,44,nan,nan,nan,nan,nan,nan,nan
3,76.12801951418679,Crack,84.34684684684684,91.39318885448915,75.38075959128592,738,136,11,3,nan,nan,nan,nan,nan,nan,nan
