Trial,TrialAUC(%),Label,Accuracy,F1,AUC,TP,FP,TN,FN,mAP(%),CP(%),CR(%),CF1(%),OP(%),OR(%),OF1(%)
0,79.38543313067153,HealthyTongue,98.41549295774648,0.0,59.053866030610216,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,PeelingCoating,88.02816901408451,35.84905660377358,78.1218161683278,19,44,481,24,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,RedTongue,72.53521126760563,57.608695652173914,83.69303201506591,106,144,306,12,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,PurpleTongue,90.14084507042254,24.32432432432433,75.40594362745098,9,41,503,15,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,ChubbyTongue,69.01408450704226,30.158730158730158,79.2542981990444,38,167,354,9,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,ThinTongue,95.4225352112676,63.888888888888886,93.17073170731707,23,14,519,12,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,RedDot,61.97183098591549,44.89795918367347,81.08760683760684,88,204,264,12,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,Crack,70.95070422535211,61.1764705882353,86.5647672617592,130,150,273,15,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,Toothmark,65.14084507042254,45.30386740331492,78.44686759781099,82,174,288,24,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,FurWhite,70.95070422535211,82.35294117647058,70.64114094822047,385,163,18,2,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,FurYellow,83.45070422535211,58.03571428571428,89.7232792317051,65,80,409,14,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,FurBlack,94.71830985915493,16.666666666666664,89.62025316455696,3,18,535,12,nan,nan,nan,nan,nan,nan,nan
0,79.38543313067153,SmoothCoating,95.77464788732394,7.692307692307692,67.22702790925412,1,14,543,10,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,HealthyTongue,98.41549295774648,0.0,52.6336712383224,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,PeelingCoating,94.01408450704226,54.054054054054056,81.18715393133998,20,11,514,23,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,RedTongue,68.83802816901408,53.29815303430079,84.83804143126177,101,160,290,17,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,PurpleTongue,89.61267605633803,27.160493827160494,81.28063725490196,11,46,498,13,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,ChubbyTongue,65.84507042253522,26.515151515151516,75.22767182586678,35,182,339,12,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,ThinTongue,93.13380281690141,45.07042253521127,90.01340123291342,16,20,513,19,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,RedDot,67.0774647887324,47.9108635097493,83.32051282051282,86,173,295,14,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,Crack,69.8943661971831,59.95316159250586,82.84584658025597,128,154,269,17,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,Toothmark,69.8943661971831,48.64864864864865,79.92117944948134,81,146,316,25,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,FurWhite,72.53521126760563,83.15334773218143,75.05389238654047,385,154,27,2,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,FurYellow,86.97183098591549,56.470588235294116,84.46325489891538,48,43,446,31,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,FurBlack,96.83098591549296,43.74999999999999,87.43821579264616,7,10,543,8,nan,nan,nan,nan,nan,nan,nan
1,79.8676131482443,SmoothCoating,87.67605633802818,12.5,80.05549208421739,5,64,493,6,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,HealthyTongue,98.41549295774648,0.0,41.86046511627907,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,PeelingCoating,91.19718309859155,40.476190476190474,81.24031007751937,17,24,501,26,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,RedTongue,66.72535211267606,52.86783042394014,83.00847457627118,106,177,273,12,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,PurpleTongue,86.09154929577466,16.842105263157894,78.20925245098039,8,63,481,16,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,ChubbyTongue,74.47183098591549,26.39593908629442,74.27206272716136,26,124,397,21,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,ThinTongue,96.30281690140845,67.69230769230768,93.17609220048244,22,8,525,13,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,RedDot,60.73943661971831,45.20884520884521,83.27991452991452,92,215,253,8,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,Crack,75.88028169014085,61.83844011142061,82.42846661775496,111,103,320,34,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,Toothmark,80.28169014084507,52.54237288135594,75.60238503634729,62,68,394,44,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,FurWhite,69.8943661971831,81.78913738019169,70.42557140205862,384,168,13,3,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,FurYellow,83.80281690140845,56.60377358490566,85.34208278325697,60,73,416,19,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,FurBlack,95.24647887323944,27.027027027027025,89.57203134418324,5,17,536,10,nan,nan,nan,nan,nan,nan,nan
2,78.01134481674752,SmoothCoating,91.19718309859155,13.793103448275861,75.73037375550841,4,43,514,7,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,HealthyTongue,98.94366197183099,50.0,82.28980322003578,3,0,559,6,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,PeelingCoating,93.83802816901408,54.545454545454554,84.31450719822811,21,13,512,22,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,RedTongue,75.88028169014085,54.485049833887054,82.8964218455744,82,101,349,36,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,PurpleTongue,85.03521126760563,28.57142857142857,89.88204656862744,17,78,466,7,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,ChubbyTongue,73.94366197183099,26.732673267326735,75.07657124188344,27,128,393,20,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,ThinTongue,94.71830985915493,61.53846153846154,94.4894130259984,24,19,514,11,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,RedDot,78.52112676056338,57.638888888888886,85.32051282051283,83,105,363,17,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,Crack,75.17605633802818,65.01240694789082,91.40376620200537,131,127,296,14,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,Toothmark,76.58450704225352,52.66903914590747,82.416482888181,74,101,361,32,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,FurWhite,70.59859154929578,82.21512247071352,71.06942481476722,386,166,15,1,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,FurYellow,91.54929577464789,68.42105263157893,89.81129144987186,52,21,468,27,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,FurBlack,97.7112676056338,51.85185185185186,91.416515973478,7,5,548,8,nan,nan,nan,nan,nan,nan,nan
3,83.9111833080015,SmoothCoating,85.91549295774648,11.111111111111112,70.45862575485555,5,74,483,6,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,HealthyTongue,98.41549295774648,0.0,48.678195189823086,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,PeelingCoating,93.30985915492957,52.5,86.23698781838317,21,16,509,22,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,RedTongue,63.556338028169016,49.140049140049136,79.2165725047081,100,189,261,18,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,PurpleTongue,95.24647887323944,34.146341463414636,86.76470588235294,7,10,534,17,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,ChubbyTongue,68.48591549295774,26.93877551020408,77.5758565769592,33,165,356,14,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,ThinTongue,94.36619718309859,38.46153846153846,69.68641114982577,10,7,526,25,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,RedDot,74.11971830985915,51.8032786885246,82.99358974358974,79,126,342,21,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,Crack,79.04929577464789,59.93265993265994,78.55465884079238,89,63,360,56,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,Toothmark,69.71830985915493,49.41176470588235,81.9570366740178,84,150,312,22,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,FurWhite,72.53521126760563,82.96943231441047,75.04247148343255,380,149,32,7,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,FurYellow,84.33098591549296,58.986175115207374,88.70078434417954,64,74,415,15,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,FurBlack,95.95070422535211,41.02564102564102,85.96745027124774,8,16,537,7,nan,nan,nan,nan,nan,nan,nan
4,78.39327707595316,SmoothCoating,94.54225352112677,11.428571428571429,77.737881508079,2,22,535,9,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,HealthyTongue,98.41549295774648,0.0,80.56052474657126,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,PeelingCoating,92.0774647887324,52.63157894736843,84.3455149501661,25,27,498,18,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,RedTongue,69.8943661971831,56.04113110539847,85.75517890772127,109,162,288,9,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,PurpleTongue,94.19014084507043,15.384615384615385,82.23805147058823,3,12,532,21,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,ChubbyTongue,77.99295774647888,32.432432432432435,77.77187895618083,30,108,413,17,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,ThinTongue,91.19718309859155,24.242424242424246,58.155990351112294,8,23,510,27,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,RedDot,82.04225352112677,56.41025641025641,81.30341880341881,66,68,400,34,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,Crack,81.86619718309859,70.14492753623188,90.62443955327302,121,79,344,24,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,Toothmark,78.16901408450704,55.072463768115945,81.7303765416973,76,94,368,30,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,FurWhite,70.95070422535211,82.39060832443971,76.89408539980298,386,164,17,1,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,FurYellow,90.14084507042254,69.23076923076923,91.5508270559913,63,40,449,16,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,FurBlack,94.01408450704226,32.0,82.64014466546112,8,27,526,7,nan,nan,nan,nan,nan,nan,nan
5,80.70163630337295,SmoothCoating,90.14084507042254,12.5,75.55084054186389,4,49,508,7,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,HealthyTongue,98.76760563380282,36.36363636363636,80.00397535281256,2,0,559,7,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,PeelingCoating,89.08450704225352,46.55172413793103,86.43189368770764,27,46,479,16,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,RedTongue,75.35211267605634,57.57575757575758,85.79284369114876,95,117,333,23,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,PurpleTongue,84.15492957746478,23.72881355932203,82.82781862745098,14,80,464,10,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,ChubbyTongue,69.36619718309859,29.838709677419352,78.0046555315065,37,164,357,10,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,ThinTongue,92.78169014084507,54.94505494505495,92.2540873760386,25,31,502,10,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,RedDot,71.65492957746478,51.359516616314195,83.17521367521368,85,146,322,15,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,Crack,81.33802816901408,69.36416184971098,88.65981902665689,120,81,342,25,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,Toothmark,82.21830985915493,55.895196506550214,82.14081515968309,64,59,403,42,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,FurWhite,72.53521126760563,83.04347826086956,78.31598783673819,382,151,30,5,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,FurYellow,90.14084507042254,68.18181818181819,91.36962543035386,60,37,452,19,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,FurBlack,97.88732394366197,50.0,88.71609403254973,6,3,550,9,nan,nan,nan,nan,nan,nan,nan
6,84.08185667354459,SmoothCoating,91.72535211267606,14.545454545454545,75.37130732821934,4,40,517,7,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,HealthyTongue,98.41549295774648,0.0,62.671437090041735,0,0,559,9,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,PeelingCoating,90.84507042253522,38.0952380952381,80.0,16,25,500,27,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,RedTongue,64.43661971830986,51.4423076923077,83.14124293785311,107,191,259,11,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,PurpleTongue,80.28169014084507,22.22222222222222,83.58609068627452,16,104,440,8,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,ChubbyTongue,62.147887323943664,25.60553633217993,75.3951076081186,37,205,316,10,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,ThinTongue,92.95774647887323,42.857142857142854,80.22514071294559,15,20,513,20,nan,nan,nan,nan,nan,nan,nan
7,79.31901703043913,RedDot,69.71830985915493,48.19277108433735,81.44017094017096,80,152,316,20,nan,nan,nan,nan,nan,nan,nan
